Method 1,Method 2,Method 3,Method 4,Method 5,Method 6
5.7220458984375e-06,9.059906005859375e-06,2.1219253540039062e-05,1.7881393432617188e-05,1.9073486328125e-05,1.5735626220703125e-05
6.198883056640625e-06,1.0013580322265625e-05,2.193450927734375e-05,1.9073486328125e-05,1.9788742065429688e-05,1.6927719116210938e-05
6.198883056640625e-06,9.775161743164062e-06,2.3126602172851562e-05,1.9073486328125e-05,1.9788742065429688e-05,1.6927719116210938e-05
5.245208740234375e-06,9.775161743164062e-06,2.193450927734375e-05,1.9073486328125e-05,2.002716064453125e-05,1.6689300537109375e-05
4.76837158203125e-06,1.0013580322265625e-05,2.193450927734375e-05,1.9073486328125e-05,2.002716064453125e-05,1.811981201171875e-05
5.0067901611328125e-06,1.0967254638671875e-05,2.288818359375e-05,2.002716064453125e-05,2.002716064453125e-05,1.811981201171875e-05
5.0067901611328125e-06,1.1205673217773438e-05,2.288818359375e-05,2.002716064453125e-05,2.09808349609375e-05,1.6927719116210938e-05
5.0067901611328125e-06,1.0967254638671875e-05,2.4080276489257812e-05,1.9788742065429688e-05,2.09808349609375e-05,1.7881393432617188e-05
5.245208740234375e-06,1.0967254638671875e-05,2.4080276489257812e-05,2.09808349609375e-05,2.193450927734375e-05,1.811981201171875e-05
5.0067901611328125e-06,1.0967254638671875e-05,2.4080276489257812e-05,2.09808349609375e-05,2.193450927734375e-05,1.811981201171875e-05
5.0067901611328125e-06,1.0967254638671875e-05,2.5033950805664062e-05,2.09808349609375e-05,2.2172927856445312e-05,1.8835067749023438e-05
6.9141387939453125e-06,1.0967254638671875e-05,2.5272369384765625e-05,2.193450927734375e-05,2.3126602172851562e-05,1.8835067749023438e-05
7.152557373046875e-06,1.1920928955078125e-05,2.5033950805664062e-05,2.09808349609375e-05,2.3126602172851562e-05,1.8835067749023438e-05
6.9141387939453125e-06,1.2159347534179688e-05,2.5987625122070312e-05,2.193450927734375e-05,2.288818359375e-05,2.0265579223632812e-05
7.152557373046875e-06,1.1920928955078125e-05,2.5987625122070312e-05,2.193450927734375e-05,2.3126602172851562e-05,2.002716064453125e-05
6.9141387939453125e-06,1.1920928955078125e-05,2.574920654296875e-05,2.3126602172851562e-05,2.4080276489257812e-05,2.002716064453125e-05
6.9141387939453125e-06,1.1920928955078125e-05,2.7179718017578125e-05,2.288818359375e-05,2.384185791015625e-05,2.1219253540039062e-05
6.9141387939453125e-06,1.2159347534179688e-05,2.6941299438476562e-05,2.384185791015625e-05,2.4080276489257812e-05,2.09808349609375e-05
5.9604644775390625e-06,1.3113021850585938e-05,2.6941299438476562e-05,2.288818359375e-05,2.4080276489257812e-05,1.811981201171875e-05
6.198883056640625e-06,1.0967254638671875e-05,2.384185791015625e-05,2.002716064453125e-05,2.193450927734375e-05,1.8358230590820312e-05
6.198883056640625e-06,1.0967254638671875e-05,2.4080276489257812e-05,2.09808349609375e-05,2.193450927734375e-05,1.9073486328125e-05
5.9604644775390625e-06,1.0967254638671875e-05,2.5272369384765625e-05,2.09808349609375e-05,2.193450927734375e-05,1.8835067749023438e-05
5.9604644775390625e-06,1.0967254638671875e-05,2.5033950805664062e-05,2.193450927734375e-05,2.2172927856445312e-05,1.8835067749023438e-05
5.0067901611328125e-06,1.1205673217773438e-05,2.4080276489257812e-05,2.09808349609375e-05,2.288818359375e-05,2.0265579223632812e-05
5.245208740234375e-06,1.1920928955078125e-05,2.47955322265625e-05,2.2172927856445312e-05,2.288818359375e-05,2.002716064453125e-05
5.0067901611328125e-06,1.1920928955078125e-05,2.5033950805664062e-05,2.193450927734375e-05,2.3126602172851562e-05,1.9788742065429688e-05
6.9141387939453125e-06,1.1920928955078125e-05,2.6226043701171875e-05,2.193450927734375e-05,2.384185791015625e-05,2.0265579223632812e-05
8.344650268554688e-06,1.0967254638671875e-05,2.6941299438476562e-05,2.193450927734375e-05,2.4080276489257812e-05,2.002716064453125e-05
